id,difficulty,domain,question
E020,easy,alarm,Lấy danh sách 5 mã trạm phát sóng (station_code) duy nhất đầu tiên trong bảng gnoc có mức cảnh báo CRITICAL.
M001,medium,common_location,Thống kê số lượng tỉnh thành duy nhất theo từng khu vực (area_code) từ bảng f_location_new.
M002,medium,network_kpi_5g,Tính lưu lượng 5G tải xuống trung bình theo từng tỉnh trong ngày 2026-08-20.
M003,medium,alarm,Thống kê số lượng cảnh báo trong bảng gnoc theo mức độ CRITICAL và MAJOR.
M004,medium,alarm,"Liệt kê số lượng cảnh báo mạng gnoc theo từng nhà sản xuất thiết bị (Huawei, Ericsson)."
M005,medium,fbb,Tính tổng số phiên bắt đầu (start) và kết thúc (stop) trong bảng accounting theo máy chủ sbr_server.
M006,medium,fbb,Đếm số tài khoản FTTH PPPoE theo từng nhóm gói cước (groupname).
M007,medium,alarm,Thống kê số lượng cảnh báo mức CRITICAL theo từng vùng (region) trong bảng gnoc.
M008,medium,network_kpi_4g,Lấy thông lượng 4G tải xuống trung bình và tối đa theo từng khu vực trong ngày 2026-08-20.
M009,medium,network_kpi_5g,Đếm số lượng bản ghi KPI 5G theo từng ngày trong khoảng thời gian từ 2026-08-14 đến 2026-08-17.
M010,medium,network_kpi_5g,Tìm các tỉnh có từ 2 cell 5G trở lên được ghi nhận trong ngày 2026-08-20.
M011,medium,network_kpi_5g,Lấy danh sách tên tỉnh kèm số lượng cell 5G tương ứng bằng cách join bảng KPI 5G với f_location_new.
M012,medium,fbb,Thống kê số lượt xác thực thành công (accept) và từ chối (reject) theo từng khung giờ trong authentication.
M013,medium,network_kpi_4g,Liệt kê các tỉnh có lưu lượng dữ liệu 4G lớn hơn 3 tỷ bit trong ngày 2026-08-20.
M014,medium,alarm,Tìm danh sách các mã trạm (station_code) duy nhất có cảnh báo mức CRITICAL trong bảng gnoc.
M015,medium,alarm,Thống kê số lượng cảnh báo mức CRITICAL theo từng ngày từ cột date_hour trong bảng gnoc.
M016,medium,network_kpi_5g,Tìm các cell 5G có throughput tải xuống trung bình trong 7 ngày nhỏ hơn 5 Mbps.
M017,medium,alarm,Đếm số cảnh báo thuộc vendor Huawei theo từng mức độ quan trọng trong bảng gnoc.
M018,medium,network_kpi_4g,"Lấy tên tỉnh, thông lượng 4G trung bình kèm tổng lưu lượng tải xuống (celldltrafficvolume_bit) của tỉnh đó trong ngày 2026-08-20 qua phép INNER JOIN với f_location_new."
M019,medium,network_kpi_5g,Đếm số lượng cell 5G có lưu lượng nr_ps_traffic_total_gb lớn hơn 20 GB theo từng tỉnh.
M020,medium,network_kpi_5g,Thống kê số lượng cell trong occean_cell theo từng loại cell (cell_type).
M021,medium,fbb,Lấy danh sách tài khoản FTTH kèm số kết nối (count) cho nhóm FTTH_VIP có số kết nối >= 1.
M022,medium,network_kpi_5g,Tính thông lượng tải lên (ul_user_throughput_mbps) trung bình của các cell 5G tại Hà Nội (HNI) trong ngày 2026-08-20.
M023,medium,network_kpi_4g,Tính tổng lưu lượng 4G (Gbit) theo từng khu vực (area_code) trong ngày 2026-08-20.
M024,medium,fbb,Đếm số lượng máy chủ BRAS (hostname) duy nhất tham gia xác thực AAA.
M025,medium,fbb,Thống kê tổng số phiên kế toán bắt đầu theo máy chủ hostname và sbr_server trong accounting.
M026,medium,network_kpi_5g,Lấy danh sách các cell 5G có thông lượng nhỏ hơn 5 Mbps nhưng lưu lượng lớn hơn 10 GB trong ngày 2026-08-20.
M027,medium,network_kpi_5g,Thống kê số lượng cell duy nhất theo từng huyện (district_code) trong ngày 2026-08-20.
M028,medium,common_location,Lấy tên khu vực (area_name) và số lượng tỉnh duy nhất tương ứng thuộc khu vực đó.
M029,medium,alarm,Tìm các cảnh báo gnoc thuộc vendor Huawei có mức độ CRITICAL hoặc MAJOR.
M030,medium,network_kpi_5g,Đếm số cell 5G có mặt trong bảng KPI nhưng không thuộc nhà mạng Lào (country != 'LAO') theo quốc gia.
H001,hard,network_kpi_5g,"Tính số lượng cell 5G suy giảm thông lượng (bad cell) trong cửa sổ 7 ngày kết thúc ngày 2026-08-20, loại trừ occean_cell và phân rã 3 cấp địa lý (province, area, network) bằng GROUPING SETS (Production Query Variant 1)."
H002,hard,network_kpi_5g,Tìm danh sách các cell 5G có chuỗi ít nhất 3 ngày liên tiếp (streak >= 3) bị suy giảm thông lượng (dl_user_throughput_mbps < 4 Mbps và traffic > 0) trong cửa sổ 7 ngày kết thúc ngày 2026-08-20.
H003,hard,network_kpi_5g,So sánh thông lượng tải xuống trung bình 3 ngày đầu tuần (2026-08-14 đến 2026-08-16) so với 3 ngày cuối tuần (2026-08-18 đến 2026-08-20) của từng cell 5G; lọc các cell có mức tăng trưởng thông lượng vượt bậc (>= 10 Mbps).
H004,hard,alarm,Xác định các sự cố cảnh báo trong gnoc đang diễn ra hoặc chưa đóng (uptime_date IS NULL) tính đến ngày 2026-08-20 kèm mã trạm và mức độ quan trọng.
H005,hard,alarm,Thống kê số lượng cảnh báo sự cố GNOC xảy ra tại thời khắc chuyển ngày (khung giờ từ 23:00 ngày 2026-08-19 đến 01:00 ngày 2026-08-20) theo từng mức độ nghiêm trọng.
H006,hard,network_kpi_5g,So sánh thông lượng tải xuống trung bình 3 ngày gần nhất (2026-08-18 đến 2026-08-20) so với trung bình cả tuần (7 ngày) của từng cell 5G; lọc các cell có độ lệch thông lượng từ 5 Mbps trở lên.
H007,hard,fbb,Tìm các máy chủ BRAS có hoạt động kế toán accounting liên tục trong khung giờ cao điểm từ 08:00 đến 12:00 ngày 2026-08-20 kèm tổng số phiên bắt đầu.
H008,hard,network_kpi_5g,So sánh tổng lưu lượng 5G giữa 4 ngày đầu tuần (2026-08-14 đến 2026-08-17) và 3 ngày cuối tuần (2026-08-18 đến 2026-08-20) theo từng khu vực (area_code).
H009,hard,alarm,"Thống kê tổng số lượng cảnh báo sự cố GNOC và tổng số lệnh bảo dưỡng ICMS của từng trạm phát sóng (station_code) trong tuần, tránh nhân bản bản ghi giữa 2 bảng bằng cách gom nhóm CTE trước khi JOIN."
H010,hard,fbb,Đối soát khối lượng xác thực (Authentication) và phiên kế toán (Accounting) theo từng máy chủ BRAS (hostname): tính tổng số yêu cầu xác thực chấp thuận (accept) và tổng số phiên bắt đầu (start) mà không nhân bản chéo.
H011,hard,network_kpi_5g,Báo cáo tích hợp chất lượng 4G và 5G cấp tỉnh trong tuần: Tính đồng thời thông lượng 4G trung bình và số cell 5G hoạt động của từng tỉnh mà không tạo tích Đề-các.
H012,hard,alarm,Thống kê khối lượng công việc của từng phòng ban GNOC: Số lượng cảnh báo thuộc địa bàn quản lý và số lượt điều chỉnh thông số trong od_history.
H013,hard,network_kpi_5g,Báo cáo giám sát sự cố cấp Quận/Huyện: Đếm số lượng cell 5G hoạt động theo từng district_code có từ 2 cell trở lên.
H014,hard,fbb,"Đánh giá sức khỏe nhóm thuê bao FTTH: Tính tổng số tài khoản, tổng số lần kết nối và giới hạn đăng nhập trung bình theo từng nhóm cước (groupname)."
H015,hard,data_monitoring,"Báo cáo giám sát trạm vi phạm Blacklist: Với mỗi trạm trong danh sách đen, đếm số vùng blacklist liên quan và số cảnh báo CRITICAL phát sinh."
H016,hard,alarm,Đối soát thiết bị theo Vendor: Tính tổng số trạm phát sóng có cảnh báo và tổng số cảnh báo tương ứng của từng Vendor.
H017,hard,network_kpi_5g,Liệt kê các cell 5G suy giảm thông lượng (throughput < 5 Mbps và traffic > 0 trong > 3 ngày) và bắt buộc KHÔNG nằm trong danh sách cell biển/đảo occean_cell (sử dụng NOT EXISTS) (Production Query Variant 2).
H018,hard,common_location,Tìm các tỉnh thành trong danh mục địa bàn f_location_new nhưng KHÔNG có bất kỳ cell 5G nào trong bảng KPI (Anti-Join giữa location và KPI).
H019,hard,fbb,Tìm danh sách các máy chủ BRAS (hostname) có phát sinh yêu cầu xác thực nhưng KHÔNG có bất kỳ bản ghi từ chối nào (reject = '0' hoàn hảo) trong toàn bộ dữ liệu authentication.
H020,hard,network_kpi_5g,Tìm các cell 5G trong kpi_access5g_5g_cell_peak_view có lưu lượng lớn hơn 10 GB nhưng KHÔNG nằm trong danh sách loại trừ occean_cell.
H021,hard,fbb,Tìm các máy chủ BRAS (hostname) có xuất hiện trong bảng authentication nhưng KHÔNG hề có bản ghi phiên nào trong bảng accounting (Anti-Join).
H022,hard,data_monitoring,Tìm các trạm nằm trong danh sách đen blacklist_enodeb_id nhưng KHÔNG có bất kỳ cảnh báo mức CRITICAL nào trong bảng gnoc.
H023,hard,network_kpi_5g,Xác định Top-3 cell 5G có thông lượng tải xuống trung bình thấp nhất trong từng tỉnh (sử dụng Window Function ROW_NUMBER).
H024,hard,fbb,Xếp hạng các máy chủ BRAS theo tổng số lượt xác thực chấp thuận (accept) sử dụng DENSE_RANK.
H025,hard,network_kpi_5g,Theo dõi xu hướng chất lượng cell 5G: Tính chênh lệch thông lượng tải xuống giữa ngày hiện tại và ngày liền trước (sử dụng LAG).
H026,hard,alarm,Tính lũy kế số lượng cảnh báo sự cố theo từng ngày trong tuần cho từng khu vực (sử dụng SUM OVER ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW).
H027,hard,network_kpi_5g,Phân chia các cell 5G thành 4 nhóm tứ phân vị chất lượng (Quartiles 1-4) dựa trên thông lượng tải xuống trung bình sử dụng hàm NTILE(4).
H028,hard,network_kpi_5g,Tính tỷ lệ phần trăm đóng góp lưu lượng của từng cell 5G so với tổng lưu lượng toàn tỉnh sử dụng Window Function SUM OVER.
H029,hard,network_kpi_5g,Tổng hợp 3 tầng: Tính thông lượng trung bình từng ngày của cell -> lọc các cell có trên 3 ngày suy giảm -> tính tỷ lệ cell suy giảm trên tổng số cell hoạt động theo từng tỉnh.
H030,hard,fbb,Lọc ngưỡng 2 cấp: Tính tổng số phiên kế toán theo từng máy chủ và khung giờ -> lọc các khung giờ cao điểm có tổng phiên > 150 -> tính trung bình số phiên cao điểm theo máy chủ.
H031,hard,alarm,Xác định khung giờ đỉnh điểm sự cố (date_hour có số cảnh báo lớn nhất toàn mạng) và phân tích cơ cấu các mức độ nghiêm trọng trong đúng khung giờ đó.
H032,hard,network_kpi_5g,"Tính độ lệch chuẩn thông lượng của từng cell trong tuần (STDDEV_SAMP) để lọc các cell có độ biến thiên cao (> 1.0 Mbps), sau đó tính thông lượng trung bình của nhóm này theo từng khu vực."
H033,hard,alarm,"Tính trung bình số cảnh báo trên mỗi trạm phát sóng theo từng Vendor: Đầu tiên đếm số cảnh báo của từng trạm, sau đó tính trung bình các trạm theo từng nhà cung cấp."
H034,hard,network_kpi_5g,"Tính tỷ lệ huyện có vấn đề: Lọc các quận/huyện có từ 2 cell 5G suy giảm trở lên, sau đó tính tỷ lệ số huyện có vấn đề trên tổng số huyện của từng tỉnh."
H035,hard,network_kpi_5g,"Phân rã số lượng cell 5G suy giảm thông lượng theo cấu trúc phân cấp địa lý 3 tầng: Tỉnh, Khu vực và Toàn mạng sử dụng GROUPING SETS ((province_code, area_code), (area_code), ()) (Production Query Variant 3)."
H036,hard,network_kpi_5g,"Báo cáo tổng hợp lưu lượng 5G phân cấp từ cấp Huyện -> Tỉnh -> Khu vực sử dụng cú pháp ROLLUP (area_code, province_code, district_code)."
H037,hard,alarm,"Lập bảng chéo đa chiều (Multi-dimensional Cross Tabulation) giữa Nhà cung cấp (vendor) và Mức độ nghiêm trọng (level_important) của cảnh báo GNOC sử dụng GROUPING SETS ((vendor, level_important), (vendor), (level_important), ())."
H038,hard,fbb,Tổng hợp khối lượng xác thực AAA theo phân cấp thời gian: Khung giờ -> Ngày -> Toàn bộ tuần sử dụng ROLLUP.
H039,hard,alarm,"Phân rã kế hoạch bảo dưỡng trạm theo Đơn vị quản lý (area_name) và Trạng thái lệnh công tác (wo_status) bằng GROUPING SETS ((area_name, wo_status), (area_name), ())."
H040,hard,fbb,Đối soát khối lượng bản tin AAA: Tính độ chênh lệch giữa số lượt xác thực thành công (accept) và số phiên kế toán bắt đầu (start) theo từng máy chủ BRAS; lọc các máy chủ có độ chênh lệch tuyệt đối lớn hơn 10 bản tin.
H041,hard,common_location,Đối soát quy hoạch địa bàn và đo kiểm mạng: So sánh tổng số tỉnh quy hoạch trong f_location_new với số tỉnh thực tế có cell 5G đo đạc trong bảng KPI.
H042,hard,fbb,Phát hiện tài khoản bất thường: Tìm các tài khoản FTTH trong ftth_account_pppoe có loginlimit lớn hơn 1 nhưng số lần kết nối hiện tại (count) bằng 0.
H043,hard,network_kpi_5g,Phát hiện dị thường dữ liệu đo đạc (Data Anomaly Detection): Tìm các bản ghi KPI 5G có giá trị thông lượng người dùng không hợp lệ (nhỏ hơn 0 hoặc lớn hơn 1000 Mbps).
H044,hard,network_kpi_5g,Kiểm tra tính đầy đủ của dữ liệu (Data Completeness): Tìm các cell 5G có số ngày đo kiểm nhỏ hơn 7 ngày trong tuần từ 2026-08-14 đến 2026-08-20.
H045,hard,network_kpi_5g,Tương quan sự cố mạng đa miền: Tìm các cell 5G suy giảm thông lượng (bad cell) mà trạm phát sóng tương ứng đang có cảnh báo CRITICAL trong GNOC (Production Query Variant 4).
H046,hard,fbb,Tương quan lỗi truy cập FBB và sự cố mạng: Tìm các máy chủ BRAS có phát sinh cảnh báo lỗi xác thực (reject > 0) và đồng thời có máy chủ SBR tham gia xử lý.
H047,hard,alarm,Đánh giá ảnh hưởng của bảo dưỡng trạm: Thống kê số lượng lệnh bảo dưỡng IN_PROGRESS theo từng khu vực và đối chiếu với số lượng cảnh báo sự cố GNOC tương ứng.
H048,hard,data_monitoring,Phân tích tác động của Blacklist: Thống kê số lượng trạm enodeb nằm trong danh sách đen blacklist theo từng zone_id.
H049,hard,network_kpi_5g,"Tính chỉ số áp lực tải mạng (Congestion Index = Tổng lưu lượng GB / Thông lượng trung bình Mbps) của các cell 5G có lưu lượng lớn hơn 20 GB, kèm tên tỉnh và khu vực quản lý."
H050,hard,network_kpi_5g,"Báo cáo điều hành mạng tổng thể (Executive Scorecard): Tổng hợp số lượng cell 5G suy giảm (loại trừ occean_cell), tổng số cảnh báo CRITICAL, và tổng lưu lượng 5G theo từng khu vực quản lý (Production Query Variant 5)."
