catalog,schema,table_name,table_fqn,domain,is_executable,primary_grain,column_count,description
hive,npms,cntt_ram_sever_95th,VTNet Datalake Presto.hive.npms.cntt_ram_sever_95th,Network KPI/5G,True,hourly,4,"[AI Gen] Bảng này lưu trữ các chỉ số thời gian phản hồi (latency) ở mức 95th percentile cho các máy chủ RAM trong hệ thống VTNet, được thu thập từ nguồn dữ liệu Datalake thông qua Presto. Mỗi bản ghi biểu diễn giá trị latency tại một khung thời gian cụ thể, kèm theo địa chỉ IP của máy chủ, giúp phân tích hiệu suất và phát hiện các hiện tượng nghẽn mạng."
hive,npms,sub_attached_cell,VTNet Datalake Presto.hive.npms.sub_attached_cell,Network KPI/5G,True,cell-hour,5,"[AI Gen] Bảng này lưu trữ các số liệu liên quan đến việc gắn (attached) và đăng ký (register) thuê bao di động trên từng cell (object) theo thời gian, dùng cho phân tích hiệu suất mạng và tối ưu hoá tài nguyên."
hive,npms,bad_cell_table_cssr,VTNet Datalake Presto.hive.npms.bad_cell_table_cssr,Network KPI/5G,True,cell-hour,30,"[AI Gen] Bảng VTNet Datalake Presto.hive.npms.bad_cell_table_cssr lưu trữ thông tin chi tiết về các chỉ số chất lượng và hiệu suất của các ô mạng di động (cell) tại các vùng, tỉnh, và quốc gia trong khoảng thời gian cụ thể (date, date_hour). Dữ liệu bao gồm các chỉ số liên quan đến 2G, 3G, 4G và VoLTE, giúp phân tích, theo dõi và tối ưu hóa mạng điện thoại di động."
hive,npms,kpi_4g_3_view,VTNet Datalake Presto.hive.npms.kpi_4g_3_view,Network KPI/5G,True,hourly,10,"[AI Gen] Bảng này là một view trong hệ thống VTNet Datalake, được tạo trên Presto Hive, chứa các chỉ số KPI (Key Performance Indicator) của mạng 4G. View này tổng hợp dữ liệu KPI theo khu vực (zone), loại KPI, thời gian (ngày, giờ) và các mức so sánh lịch sử (day1, day2, day8) để hỗ trợ phân tích hiệu suất mạng và đưa ra quyết định tối ưu hoá."
hive,npms,sub_attached_district,VTNet Datalake Presto.hive.npms.sub_attached_district,Network KPI/5G,True,hourly,18,"[AI Gen] Bảng này lưu trữ dữ liệu thống kê số thuê bao gắn kết (attached) và đăng ký (registered) theo các mức công nghệ (2G, 3G, 4G) ở từng huyện, kèm thông tin về tỷ lệ phần trăm trong mỗi công nghệ, ngày và giờ thống kê. Dữ liệu được thu thập từ hệ thống VTNet Datalake và dùng cho các phân tích mạng, lên kế hoạch đầu tư và tối ưu hoá nguồn lực tại các khu vực hành chính."
hive,npms,kpi_coremobile_gmsc_dpc_object_day_normal,VTNet Datalake Presto.hive.npms.kpi_coremobile_gmsc_dpc_object_day_normal,Network KPI/5G,True,hourly,17,"[AI Gen] Bảng này lưu trữ các KPI (Key Performance Indicator) hằng ngày cho các đối tượng (object) của GMSC (Gateway Mobile Switching Center) theo từng DPC (Data Processing Center) trong mạng Core Mobile. Dữ liệu được thu thập trong môi trường VTNet Datalake và truy vấn bằng Presto, phục vụ việc phân tích hiệu suất, báo cáo và tối ưu hoá hoạt động mạng di động."
hive,npms,storage_san_pool,VTNet Datalake Presto.hive.npms.storage_san_pool,Network KPI/5G,True,hourly,5,"[AI Gen] Bảng lưu trữ thông tin các pool SAN trong hệ thống VTNet Datalake, sử dụng Presto và Hive. Mỗi bản ghi mô tả một pool SAN tại một thời điểm (giờ) cụ thể, bao gồm tên pool, địa chỉ IP của SAN, dung lượng khả dụng và tổng dung lượng tính bằng MiB."
hive,npms,kpi_access2g_2g_all_peak_day,VTNet Datalake Presto.hive.npms.kpi_access2g_2g_all_peak_day,Network KPI/5G,True,hourly,77,"[AI Gen] Bảng lưu trữ các chỉ số KPI truy cập 2G trong ngày cao điểm (peak day) của hệ thống VTNet, chứa thông tin chi tiết về hiệu suất kênh TCH, SDCCH, TBF, chất lượng tín hiệu (RxQual), tỉ lệ chuyển vùng, thông lượng và lưu lượng dữ liệu theo từng cell, khu vực và thời gian."
hive,npms,viettel_core_smsc_generic,VTNet Datalake Presto.hive.npms.viettel_core_smsc_generic,Network KPI/5G,True,hourly,94,"[AI Gen] Bảng lưu trữ dữ liệu thống kê tổng quan của hệ thống SMSC Core Viettel trong môi trường VTNet Datalake, được truy vấn qua Presto/Hive. Mỗi bản ghi biểu thị các chỉ số hoạt động, hiệu suất, tỷ lệ thành công/thất bại và thông số tài nguyên của các node trong một khoảng thời gian nhất định."
hive,npms,peak_ring_agg,VTNet Datalake Presto.hive.npms.peak_ring_agg,Network KPI/5G,True,hourly,32,"[AI Gen] Bảng này lưu trữ dữ liệu tổng hợp mức độ tải (peak) trên các vòng (ring) của mạng VTNet, được tính toán theo từng giờ. Mỗi bản ghi đại diện cho một vòng mạng tại một thời điểm cụ thể, bao gồm các chỉ số tốc độ, trung bình và cực đại của các giao diện, cùng thông tin địa lý và nhà cung cấp."
hive,npms,nf_discovery_sr,VTNet Datalake Presto.hive.npms.nf_discovery_sr,Network KPI/5G,True,hourly,6,"[AI Gen] Bảng VTNet Datalake Presto.hive.npms.nf_discovery_sr lưu trữ dữ liệu thống kê quá trình khám phá Service Registry (SR) của các Network Function (NF) trong môi trường VTNet, bao gồm số lượng yêu cầu nhận được và phản hồi đã gửi, phân theo quốc gia và thời gian (ngày, giờ)."
hive,npms,ericsson_vudc_eric_udr_app_counter_grp_hssesmuserslocation_group,VTNet Datalake Presto.hive.npms.ericsson_vudc_eric_udr_app_counter_grp_hssesmuserslocation_group,Network KPI/5G,True,account-hour,18,"[AI Gen] Bảng này lưu trữ các chỉ số đếm (counter) liên quan đến việc định vị và quản lý người dùng EPS trong hệ thống HSS/ESM, được thu thập từ ứng dụng UDR (User Data Repository) của Ericsson. Dữ liệu được phân nhóm theo thời gian, đối tượng và khu vực địa lý, phục vụ việc phân tích hiệu suất, theo dõi số lượng người dùng hoạt động, đã bị xóa hoặc không xác định."
hive,npms,kpi_2g_week_view,VTNet Datalake Presto.hive.npms.kpi_2g_week_view,Network KPI/5G,True,hourly,11,"[AI Gen] Bảng này lưu trữ dữ liệu KPI (Key Performance Indicator) của mạng 2G theo tuần, được thu thập từ hệ thống VTNet Datalake và truy vấn bằng Presto trên Hive. Thông tin bao gồm các chỉ số KPI cho từng vùng, quốc gia, năm và tuần, kèm theo các giá trị KPI chi tiết của các tuần trong chu kỳ báo cáo, hỗ trợ phân tích hiệu suất mạng theo thời gian và địa lý."
hive,npms,peak_ring_srt,VTNet Datalake Presto.hive.npms.peak_ring_srt,Network KPI/5G,True,hourly,26,"[AI Gen] Bảng lưu trữ dữ liệu phân tích về các vòng (ring) và đại lượng SRT (Signal Re-transmission) ở cấp độ vùng, tỉnh và quốc gia trong hệ thống VTNet. Dữ liệu được thu thập theo khung giờ và dùng cho việc theo dõi, tối ưu hoá hiệu năng mạng quang và các đường truyền mạng cáp quang cáp quang. Thông tin bao gồm các chỉ số tối đa, trung bình, tổng hợp và các giao diện tổng hợp (aggregation) của các vòng mạng."
hive,netbi,f_location_new,VTNet Datalake Presto.hive.netbi.f_location_new,Common/Location,True,hourly,8,"[AI Gen] Bảng f_location_new lưu trữ thông tin vị trí địa lý chi tiết của mạng VTNet trong kho dữ liệu Data Lake sử dụng Presto. Dữ liệu bao gồm các cấp từ quốc gia, khu vực, tỉnh tới đơn vị quản lý và thời gian thu thập, hỗ trợ phân tích địa lý và quản lý mạng."
hive,netbi,f_stations_location,VTNet Datalake Presto.hive.netbi.f_stations_location,Common/Location,True,dimension,7,"[AI Gen] Bảng lưu trữ thông tin vị trí địa lý của các trạm trong hệ thống VTNet Datalake, bao gồm chi tiết về tỉnh, khu vực và quốc gia. Dữ liệu này hỗ trợ việc phân tích địa lý, báo cáo khu vực và tích hợp với các hệ thống GIS."
hive,netbi,f_location,VTNet Datalake Presto.hive.netbi.f_location,Common/Location,True,hourly,8,"[AI Gen] Bảng này là nguồn dữ liệu vị trí địa lý dùng trong môi trường VTNet Datalake, được truy vấn qua Presto trên Hive. Nó lưu trữ thông tin cấp độ địa lý từ quốc gia tới khu vực, tỉnh và phòng ban, kèm thời gian ghi nhận theo giờ, phục vụ cho việc phân tích mạng, báo cáo hiệu năng và quản lý tài nguyên theo địa lý."
hive,netbi,f_location_cell_hour,VTNet Datalake Presto.hive.netbi.f_location_cell_hour,Common/Location,True,cell-hour,9,"[AI Gen] Bảng này lưu trữ dữ liệu KPI theo giờ cho từng vị trí (cell) trong mạng di động, được tích hợp trong môi trường VTNet Datalake qua Presto. Thông tin bao gồm các cấp địa lý (quốc gia, vùng, tỉnh, bộ phận), thời gian (date_hour) và mã KPI tương ứng, phục vụ cho việc phân tích hiệu suất mạng và báo cáo thời gian thực."
hive,netbi,kpi_qlda_kh_monthly_import,VTNet Datalake Presto.hive.netbi.kpi_qlda_kh_monthly_import,Common/Location,True,hourly,9,"[AI Gen] Bảng này lưu trữ dữ liệu KPI (Key Performance Indicator) hàng tháng của khách hàng (KH) được nhập vào hệ thống Datalake thông qua Presto. Dữ liệu bao gồm thông tin địa lý (quốc gia, khu vực, tỉnh) và các chỉ số KPI tương ứng với từng tháng, giúp phân tích hiệu suất kinh doanh theo vùng và thời gian."
hive,netbi,kpi_it_storage_daily_backup,VTNet Datalake Presto.hive.netbi.kpi_it_storage_daily_backup,Common/Location,True,hourly,6,"[AI Gen] Bảng này lưu trữ dữ liệu sao lưu hàng ngày của các KPI liên quan tới việc sử dụng lưu trữ IT trong hệ thống VTNet. Mỗi bản ghi đại diện cho một khung thời gian (hour) và chứa thông tin về địa chỉ IP của SAN, tên pool lưu trữ, giá trị KPI, mã KPI và mức độ quan trọng của KPI. Dữ liệu này thường được dùng cho việc phân tích xu hướng, báo cáo hiệu suất và lập kế hoạch tối ưu hoá tài nguyên lưu trữ."
hive,netbi,kpi_radio_quality_daily,VTNet Datalake Presto.hive.netbi.kpi_radio_quality_daily,Common/Location,True,hourly,8,"<p>[AI Gen] Bảng này lưu trữ dữ liệu KPI chất lượng sóng radio hàng ngày ở mức ngày, được thu thập từ hệ thống VTNet Datalake thông qua Presto. Mỗi bản ghi thể hiện giá trị KPI cho một khu vực địa lý cụ thể (quốc gia, tỉnh, khu vực) tại một thời điểm giờ cụ thể, hỗ trợ phân tích xu hướng chất lượng mạng và đưa ra các biện pháp tối ưu hoá.</p>"
hive,netbi,net_bi_ttdl_kcs,VTNet Datalake Presto.hive.netbi.net_bi_ttdl_kcs,Common/Location,True,hourly,19,"[AI Gen] Bảng này lưu trữ dữ liệu KPI (Key Performance Indicator) theo đơn vị, tài liệu và thời gian đánh giá, được sử dụng trong hệ thống báo cáo Business Intelligence của VTNet để phân tích hiệu suất hoạt động và so sánh với mục tiêu đề ra."
hive,netbi,kpi_nhansu_quarterly_import,VTNet Datalake Presto.hive.netbi.kpi_nhansu_quarterly_import,Common/Location,True,hourly,12,"[AI Gen] Bảng lưu trữ dữ liệu KPI nhân sự theo quý, được import vào hệ thống VTNet Data Lake thông qua Presto, thuộc schema hive.netbi. Bảng này hỗ trợ việc phân tích hiệu suất, so sánh và dự báo xu hướng nhân sự của các đơn vị tổ chức qua các quý trong năm."
hive,netbi,kpi_vtp_weekly_import,VTNet Datalake Presto.hive.netbi.kpi_vtp_weekly_import,Common/Location,True,hourly,9,"[AI Gen] Bảng lưu trữ dữ liệu KPI hàng tuần của mạng VTP trong kho dữ liệu VTNet, truy cập qua Presto trên Hive, bao gồm các chỉ số hiệu suất theo quốc gia, khu vực, tỉnh, thời gian và mức độ vị trí."
hive,geolocation,cell_subscription_decrease_night_ruleone,VTNet Datalake Presto.hive.geolocation.cell_subscription_decrease_night_ruleone,Common/Location,True,config/mapping,23,"[AI Gen] Bảng này lưu trữ kết quả xét giảm thuê bao trong khoảng thời gian ban đêm theo quy tắc số một, bao gồm các chỉ số giảm phần trăm, cảnh báo và ngày ghi nhận, cùng với chi tiết số lượng thuê bao tại các mốc thời gian khác nhau cho mỗi ô cell."
hive,geolocation,umts_cell_stats,VTNet Datalake Presto.hive.geolocation.umts_cell_stats,Common/Location,True,snapshot/entity,0,"[AI Gen] Bảng này lưu trữ thống kê tế bào UMTS trong hệ thống geolocation của VTNet Datalake, được truy vấn qua Presto trên Hive. Dữ liệu bao gồm các chỉ số hiệu năng, vị trí và các thông số kỹ thuật của các cell, hỗ trợ phân tích mạng di động và tối ưu hóa phủ sóng."
hive,geolocation,bin_region_map,VTNet Datalake Presto.hive.geolocation.bin_region_map,Common/Location,True,snapshot/entity,6,"[AI Gen] Bảng `VTNet Datalake Presto.hive.geolocation.bin_region_map` lưu trữ thông tin ánh xạ giữa mã vùng nhị phân (binary region ID) và các thuộc tính địa lý tương ứng. Bảng được khai thác qua Presto trên Hive, phục vụ việc tra cứu nhanh vị trí địa lý (quốc gia, tỉnh, thành phố, khu vực) dựa trên mã vùng trong các hệ thống phân tích dữ liệu và báo cáo của VTNet."
hive,geolocation,stl_topographic_bin_map,VTNet Datalake Presto.hive.geolocation.stl_topographic_bin_map,Common/Location,True,snapshot/entity,3,"[AI Gen] Bảng này lưu trữ dữ liệu địa lý dạng raster được phân chia thành các ô lưới (bin) trên hệ thống tọa độ XY, trong đó mỗi ô chứa thông tin về địa hình (topography). Dữ liệu được dùng cho các phân tích địa hình, mô hình địa hình số và các ứng dụng GIS trong môi trường VTNet Datalake, truy cập thông qua Presto trên Hive."
hive,geolocation,v_data_summary_umts_tile_stats,VTNet Datalake Presto.hive.geolocation.v_data_summary_umts_tile_stats,Common/Location,True,hourly,1,"[AI Gen] Bảng này lưu trữ các số liệu tóm tắt thống kê cho mạng UMTS trên từng ô lưới (tile) theo thời gian. Mỗi bản ghi đại diện cho một khung giờ (hour) cụ thể và bao gồm các chỉ số liên quan tới vị trí địa lý, giúp phân tích hiệu suất mạng, phát hiện vùng nghẽn và lập kế hoạch tối ưu hoá tài nguyên. Dữ liệu được thu thập trong môi trường Datalake, truy vấn qua Presto và được tổ chức trong Hive trong schema `geolocation`."
hive,geolocation,cell_subscription_decrease_night,VTNet Datalake Presto.hive.geolocation.cell_subscription_decrease_night,Common/Location,True,snapshot/entity,4,"[AI Gen] Bảng này lưu trữ thông tin giảm số thuê bao (subscription) theo từng ô mạng (cell) trong khoảng thời gian ban đêm. Dữ liệu được thu thập từ hệ thống VTNet Datalake, thông qua Presto và Hive, phục vụ cho việc phân tích xu hướng sử dụng dịch vụ, phát hiện các hiện tượng giảm sút bất thường và hỗ trợ tối ưu hoá tài nguyên mạng."
hive,geolocation,cell_4g_broadcast_5g_2,VTNet Datalake Presto.hive.geolocation.cell_4g_broadcast_5g_2,Common/Location,True,cell-hour,3,"[AI Gen] Bảng này lưu trữ thông tin vị trí và phát sóng của các ô mạng 4G và 5G trong hệ thống VTNet Datalake, được truy vấn qua Presto trên Hive, bao gồm các mã cell, chỉ số ECI và thời gian ghi nhận theo giờ."
hive,geolocation,mobility_cell_volte_kpi,VTNet Datalake Presto.hive.geolocation.mobility_cell_volte_kpi,Common/Location,True,cell-hour,10,"[AI Gen] Bảng này lưu trữ các chỉ số KPI liên quan đến hoạt động di động (mobility) của các ô mạng LTE hỗ trợ VoLTE, được khai thác từ hệ thống Datalake của VTNet thông qua công cụ Presto trên Hive. Dữ liệu bao gồm thông tin về mã ô, ECI, số lượng cuộc gọi VoLTE khi di chuyển, số cuộc gọi bị ngắt, tỷ lệ CDR, cùng các thông tin mô tả địa lý và phân loại ô, và thời gian thu thập theo dạng giờ."
hive,gnoc,gnoc,VTNet Datalake Presto.hive.gnoc.gnoc,Alarm,True,hourly,35,"[AI Gen] Bảng này lưu trữ thông tin chi tiết về các lịch trình và cấu hình thiết bị mạng trong hệ thống VTNet, bao gồm các thông tin về định danh lịch, mã thị trường, thiết bị, nhà cung cấp, địa điểm và các thời gian liên quan đến quá trình bảo trì, cập nhật và vận hành."
hive,gnoc,kpi_td_sr,VTNet Datalake Presto.hive.gnoc.kpi_td_sr,Alarm,True,hourly,36,"[AI Gen] Bảng này lưu trữ dữ liệu KPI (Key Performance Indicator) liên quan đến các sự cố (trouble) và yêu cầu dịch vụ (service request) trong hệ thống VTNet. Dữ liệu được thu thập và xử lý trên nền tảng Datalake qua Presto, phục vụ cho việc phân tích, báo cáo và theo dõi tiến độ xử lý sự cố ở các cấp độ khác nhau của hệ thống."
hive,gnoc,icms_maintain_calendar,VTNet Datalake Presto.hive.gnoc.icms_maintain_calendar,Alarm,True,hourly,43,"[AI Gen] Bảng này lưu trữ thông tin lịch bảo trì thiết bị và công việc bảo trì tại các trạm viễn thông trong hệ thống VTNet. Bảng hỗ trợ quản lý chu kỳ bảo trì, trạng thái hoàn thành, người thực hiện, mã công việc (WO), và các thông tin liên quan đến trạm, khu vực, tỉnh thành, cũng như các thông tin về thiết bị và thời gian thực hiện. Dữ liệu được dùng để theo dõi, phân tích và tối ưu hóa quy trình bảo trì thiết bị mạng viễn thông, đặc biệt trong bối cảnh quản lý đa cấp (trạm, khu vực, tỉnh, quốc gia) và tích hợp với hệ thống quản lý công việc (Work Order)."
hive,gnoc,od_history,VTNet Datalake Presto.hive.gnoc.od_history,Alarm,True,hourly,10,"[AI Gen] Bảng lưu trữ lịch sử thay đổi trạng thái của các đơn đặt hàng trong hệ thống VN Telecom. Mỗi bản ghi phản ánh một lần cập nhật trạng thái, bao gồm thông tin người thực hiện, thời gian và các flag liên quan."
hive,gnoc,mr_hard_group_config,VTNet Datalake Presto.hive.gnoc.mr_hard_group_config,Alarm,True,hourly,12,"[AI Gen] Bảng này lưu trữ cấu hình nhóm phần cứng (hard group) cho các thiết bị mạng di động trong hệ thống VTNet Datalake, được truy vấn qua Presto trên Hive. Mỗi bản ghi mô tả một tập hợp các thiết bị (device_type) theo mã thị trường, khu vực, loại mạng và các thông tin quản trị cập nhật."
hive,gnoc,mr_his_bk,VTNet Datalake Presto.hive.gnoc.mr_his_bk,Alarm,True,hourly,9,"[AI Gen] Bảng ""mr_his_bk"" trong kho dữ liệu VTNet Datalake, được truy xuất qua Presto ở schema hive.gnoc, lưu trữ lịch sử các thay đổi (history) của các bản ghi MR (Meter Reading) hoặc các thao tác liên quan đến hồ sơ khách hàng. Dữ liệu được thu thập từ các hệ thống quản lý nguồn gốc, phục vụ cho việc phân tích, truy vấn lịch sử và xây dựng báo cáo vận hành."
hive,gnoc,cat_department,VTNet Datalake Presto.hive.gnoc.cat_department,Alarm,True,hourly,6,"[AI Gen] Bảng cat_department trong VTNet Datalake Presto.hive.gnoc chứa thông tin danh mục các phòng ban của doanh nghiệp, hỗ trợ việc truy vấn và phân tích dữ liệu nhân sự, cấu trúc tổ chức và vị trí địa lý trong môi trường dữ liệu lake."
